# 未分类频道列表 (按源分类分组)

未分类,#genre#
4K乐享超清,http://125.71.164.143:6868/udp/239.93.0.43:5140
4K乐享超清,http://171.213.216.99:4022/udp/239.93.0.43:5140
4K乐享超清,http://171.213.225.213:4022/udp/239.93.0.43:5140
4K乐享超清,http://171.213.225.244:4022/udp/239.93.0.43:5140
BRTV卡酷少儿,http://171.113.209.201:4022/rtp/239.69.1.193:10800
BesTV体育,http://117.39.37.72:4022/rtp/239.111.205.23:5140
BesTV体育,http://125.76.196.134:8899/rtp/239.111.205.23:5140
BesTV体育,http://125.76.196.201:8899/rtp/239.111.205.23:5140
BesTV体育,http://125.76.196.51:8899/rtp/239.111.205.23:5140
BesTV体育,http://125.76.196.59:8899/rtp/239.111.205.23:5140
BesTV体育,http://36.46.98.189:8025/rtp/239.111.205.23:5140
BesTV体育,http://36.46.98.4:8025/rtp/239.111.205.23:5140
BesTV健康,http://42.92.195.94:10000/udp/239.255.30.197:8231
BesTV全球大片,http://42.92.195.94:10000/udp/239.255.30.196:8231
BesTV动漫,http://42.92.195.94:10000/udp/239.255.30.150:8231
BesTV少儿,http://42.92.195.94:10000/udp/239.255.30.151:8231
BesTV戏曲精选,http://42.92.195.94:10000/udp/239.255.30.118:8231
BesTV文化,http://42.92.195.94:10000/udp/239.255.30.160:8231
BesTV游戏,http://36.49.52.17:8800/rtp/239.37.0.162:5540
BesTV电视剧,http://42.92.195.94:10000/udp/239.255.30.100:8231
BesTV看天下,http://42.92.195.94:10000/udp/239.255.30.217:8231
CETV 1,http://1.195.209.221:8822/rtp/239.16.20.78:10780
CETV 1,http://114.100.195.50:4022/rtp/238.1.78.158:7136
CETV 1,http://114.107.46.120:8188/rtp/238.1.78.158:7136
CETV 1,http://125.71.164.143:6868/udp/239.93.1.111:5140
CETV 1,http://171.213.216.99:4022/udp/239.93.1.111:5140
CETV 1,http://171.213.225.213:4022/udp/239.93.1.111:5140
CETV 1,http://171.213.225.244:4022/udp/239.93.1.111:5140
CETV 1,http://220.169.100.41:10087/udp/239.76.245.192:1234
CETV 1,http://220.169.100.41:10087/udp/239.76.252.192:9000
CETV 1,http://220.169.109.72:802/udp/239.76.245.192:1234
CETV 1,http://220.169.109.72:802/udp/239.76.252.192:9000
CETV 1,http://58.46.30.89:8188/udp/239.76.245.192:1234
CETV 1,http://58.46.30.89:8188/udp/239.76.252.192:9000
CETV 1,http://60.172.82.67:8686/rtp/238.1.78.158:7136
CETV 1,http://60.172.83.201:8686/rtp/238.1.78.158:7136
CETV 2,http://106.116.127.5:4022/rtp/239.254.200.226:6260
CETV 2,http://106.116.242.252:9999/rtp/239.254.200.226:6260
CETV 2,http://111.226.232.106:10010/rtp/239.254.200.226:6260
CETV 2,http://27.184.64.107:58888/rtp/239.254.200.226:6260
CETV 4,http://106.116.127.5:4022/rtp/239.254.200.227:6261
CETV 4,http://106.116.242.252:9999/rtp/239.254.200.227:6261
CETV 4,http://111.226.232.106:10010/rtp/239.254.200.227:6261
CETV 4,http://183.156.66.175:4022/udp/233.50.200.162:5140
CETV 4,http://220.169.100.41:10087/udp/239.76.245.254:1234
CETV 4,http://220.169.100.41:10087/udp/239.76.252.254:9000
CETV 4,http://220.169.109.72:802/udp/239.76.245.254:1234
CETV 4,http://220.169.109.72:802/udp/239.76.252.254:9000
CETV 4,http://27.184.64.107:58888/rtp/239.254.200.227:6261
CETV 4,http://36.24.185.17:8888/udp/233.50.200.162:5140
CETV 4,http://58.46.30.89:8188/udp/239.76.245.254:1234
CETV 4,http://58.46.30.89:8188/udp/239.76.252.254:9000
CETV早期教育,http://106.116.127.5:4022/rtp/239.254.201.230:7253
CETV早期教育,http://106.116.242.252:9999/rtp/239.254.201.230:7253
CETV早期教育,http://111.162.204.194:8686/rtp/225.1.2.207:5002
CETV早期教育,http://111.226.232.106:10010/rtp/239.254.201.230:7253
CETV早期教育,http://113.119.27.49:58888/udp/239.77.0.180:5146
CETV早期教育,http://116.21.205.63:8188/udp/239.77.0.180:5146
CETV早期教育,http://117.12.150.129:4022/rtp/225.1.2.207:5002
CETV早期教育,http://118.78.196.127:55555/rtp/226.0.2.99:8704
CETV早期教育,http://121.29.141.88:4022/rtp/239.253.93.164:6440
CETV早期教育,http://121.29.169.217:7777/rtp/239.253.93.164:6440
CETV早期教育,http://121.29.169.217:8888/rtp/239.253.93.164:6440
CETV早期教育,http://121.29.169.237:7777/rtp/239.253.93.164:6440
CETV早期教育,http://121.29.169.237:8888/rtp/239.253.93.164:6440
CETV早期教育,http://121.29.169.9:7777/rtp/239.253.93.164:6440
CETV早期教育,http://121.29.169.9:8888/rtp/239.253.93.164:6440
CETV早期教育,http://121.29.215.215:7777/rtp/239.253.93.164:6440
CETV早期教育,http://121.29.215.215:8888/rtp/239.253.93.164:6440
CETV早期教育,http://180.213.170.24:8188/rtp/239.5.1.144:5000
CETV早期教育,http://183.236.43.98:4111/udp/239.77.0.180:5146
CETV早期教育,http://220.169.100.41:10087/udp/239.76.254.202:9000
CETV早期教育,http://220.169.109.72:802/udp/239.76.254.202:9000
CETV早期教育,http://27.184.64.107:58888/rtp/239.254.201.230:7253
CETV早期教育,http://58.46.30.89:8188/udp/239.76.254.202:9000
CETV早期教育,http://61.140.124.88:10022/udp/239.77.0.180:5146
CGTN,http://113.120.170.217:4022/udp/239.21.2.30:5002
CGTN,http://113.120.46.204:8123/udp/239.21.2.30:5002
CGTN,http://113.128.128.140:8688/udp/239.21.2.30:5002
CGTN,http://123.168.94.104:4000/udp/239.21.2.30:5002
CGTN,http://171.104.106.168:50112/udp/239.81.0.28:4056
CGTN 俄语,http://116.2.169.39:4010/rtp/232.0.0.28:1234
CGTN 法语,http://116.2.169.39:4010/rtp/232.0.0.8:1234
CGTN 纪录,http://116.2.169.39:4010/rtp/232.0.0.198:1234
CGTN 英语,http://116.2.169.39:4010/rtp/232.0.0.188:1234
CGTN 西班牙语,http://116.2.169.39:4010/rtp/232.0.0.6:1234
CGTN 阿拉伯语,http://116.2.169.39:4010/rtp/232.0.0.43:1234
CGTN俄语,http://106.116.127.5:4022/rtp/239.254.201.212:4220
CGTN俄语,http://106.116.242.252:9999/rtp/239.254.201.212:4220
CGTN俄语,http://106.45.2.14:4000/rtp/239.121.4.208:8030
CGTN俄语,http://106.59.2.81:55555/udp/239.200.201.187:4220
CGTN俄语,http://106.59.3.118:55555/udp/239.200.201.187:4220
CGTN俄语,http://111.123.103.198:8881/rtp/238.255.2.210:5999
CGTN俄语,http://111.226.232.106:10010/rtp/239.254.201.212:4220
CGTN俄语,http://112.109.206.28:9999/rtp/239.255.40.179:8208
CGTN俄语,http://113.119.27.49:58888/udp/239.253.43.201:5146
CGTN俄语,http://113.120.170.217:4022/udp/239.21.2.35:5002
